model,pollutant,horizon,RMSE,MAE,MAPE,R2,train_time
Random Forest,NO2(GT),1h,29.771751997051506,21.291070395357682,16.286439846419146,0.6442787067181736,157.08559203147888
Random Forest,NO2(GT),6h,49.993947054412786,37.81723337795627,26.035911864948645,-0.0015291373570034406,177.2579381465912
Random Forest,NO2(GT),12h,42.247697013071345,31.909932885906038,23.700415080871835,0.2852168366853256,175.96049189567566
Random Forest,NO2(GT),24h,42.01051679388568,31.679823420223176,23.963451858117296,0.2963303657679127,164.16840887069702
XGBoost,CO(GT),1h,0.6902613055497314,0.5155468778294956,49.560251085096,0.7271209309252497,6.963125944137573
XGBoost,CO(GT),6h,1.0398029037963539,0.805457918668421,78.4262589588865,0.3819579670450204,8.169526100158691
XGBoost,CO(GT),12h,1.0418281086427896,0.8022417785550657,79.64454956792457,0.38065567369544717,8.836892127990723
XGBoost,CO(GT),24h,1.0375962328624606,0.8035025908664921,79.29195329183383,0.38724475757228183,9.285335779190063
XGBoost,C6H6(GT),1h,3.276855685702067,2.3781175052068746,60.76223182751088,0.7357906634522681,10.864145278930664
XGBoost,C6H6(GT),6h,5.362675147799196,4.250857113951394,111.10284993146766,0.29380026035338824,11.660821914672852
XGBoost,C6H6(GT),12h,5.440095551675366,4.33816341389479,127.99334513170592,0.27440592696274657,12.611517906188965
XGBoost,C6H6(GT),24h,5.074373775926403,4.080582046637491,119.902935737784,0.371330321973498,10.215392827987671
XGBoost,NOx(GT),1h,110.42962030365868,78.19178871840955,28.769686674964927,0.6799015788746765,9.208818197250366
XGBoost,NOx(GT),6h,182.99178037651265,128.57097271998404,41.226689602932545,0.12251384366695672,8.314563035964966
XGBoost,NOx(GT),12h,165.51578357077474,117.90663236664979,45.644296813167585,0.28312606456696243,9.410438299179077
XGBoost,NOx(GT),24h,170.8013471855741,119.43083040252013,41.760692144747175,0.23709848086680407,9.052016973495483
XGBoost,NO2(GT),1h,29.635034014794353,21.023811612082504,15.878987846928307,0.6475382952017867,8.676827907562256
XGBoost,NO2(GT),6h,46.66434829199618,35.57340844599916,25.01200020460816,0.1274322717873242,8.721818208694458
XGBoost,NO2(GT),12h,41.75811804747964,32.40464679112104,27.232888133344773,0.3016870921227113,9.155490159988403
XGBoost,NO2(GT),24h,40.930838751310056,30.433111588052945,23.004139475478638,0.332034471519134,8.949828147888184
MLP,CO(GT),1h,0.7633104003008675,0.5956811891484778,53.133062823348176,0.6663082055881067,12.7917959690094
MLP,CO(GT),6h,1.559641399779594,1.2847839041666758,126.66448622011173,-0.3904823164807101,17.463019847869873
MLP,CO(GT),12h,1.4604303329452244,1.2134183612066243,125.15407799421881,-0.2170311986745066,24.626633167266846
MLP,CO(GT),24h,1.247601209256345,1.0180098138258866,99.54848167749473,0.11410584356632414,29.155797004699707
MLP,C6H6(GT),1h,3.6874381031280503,2.775351397556158,54.915665735040584,0.6654330724701902,29.42350172996521
MLP,C6H6(GT),6h,6.668841740205241,5.041952283192835,111.38468456777133,-0.092107516297816,31.538899898529053
MLP,C6H6(GT),12h,5.841798281446226,4.588606249008743,112.93856389170172,0.16329226460769952,31.289273977279663
MLP,C6H6(GT),24h,8.2563073859427,6.148390222507694,114.20969762173003,-0.6642911857575964,28.719556093215942
MLP,NOx(GT),1h,129.01171786833152,91.97901867930665,31.328302982719364,0.5631114221659768,59.64876174926758
MLP,NOx(GT),6h,194.9100526768011,139.37904658745208,51.914685048260864,0.004490093348523461,48.68698477745056
MLP,NOx(GT),12h,196.92881400962634,142.40599881984608,50.308701910562526,-0.014804752372813867,67.18071794509888
MLP,NOx(GT),24h,201.1920560927835,144.32309594540075,51.02324153737504,-0.05854068289434777,95.24737000465393
MLP,NO2(GT),1h,31.912436686942502,22.71387564888493,17.736211446036922,0.5912845925105346,43.96175193786621
MLP,NO2(GT),6h,55.57910298830859,41.77747906667831,29.583298190663378,-0.23780377636922156,48.86221194267273
MLP,NO2(GT),12h,63.43767336076113,51.042999846189204,35.243850830580264,-0.611620293094745,63.96620583534241
MLP,NO2(GT),24h,77.75617801741845,62.77349432668306,43.455673194605296,-1.4105856824937044,70.8484001159668
