model,pollutant,horizon_h,R2,RMSE,MAE,MAPE(%),family
Ridge,NO2(GT),6,0.4073697514897368,38.457189200076826,30.088710534559816,26.00323979272609,Linear/Kernel
LinearSVR,NO2(GT),6,0.4071624629451092,38.46391433589205,30.09586588901636,26.004010712031896,Linear/Kernel
ElasticNet,NO2(GT),6,0.3990574715099354,38.72595188888305,30.21383371674582,25.833315416699783,Linear/Kernel
ExtraTrees,NO2(GT),6,0.3467784536856898,40.37531115574389,31.197212182061573,24.95016285896757,Tree
RandomForest,NO2(GT),6,0.3300102021141442,40.89024629055948,31.66784024988845,26.0423987536633,Tree
LinearRegression,NO2(GT),6,0.2697758915575807,42.68877723358568,33.20269660790375,26.688764601054928,Linear/Kernel
MLP,NO2(GT),6,0.2623397604033624,42.90558415773627,33.66820824332855,32.2881247875225,Other
DecisionTree,NO2(GT),6,-0.1097651029613091,52.62609721454259,40.92037986090515,33.30619984206454,Tree
LSTM,NO2(GT),6,-0.7412151586507105,66.11086078072977,52.55178362792199,36.490235918202366,RNN
GRU,NO2(GT),6,-0.7418735548105395,66.12335866841269,52.56372470700924,36.49539706360439,RNN
LSTM_nn48,NO2(GT),6,-1.1205624725618757,73.19506516886275,58.31434041726231,39.69090125794759,RNN
Naive,NO2(GT),6,-1.303893707262865,75.82577378211451,61.03748326639893,45.7562832818633,Other
GRU_nn48,NO2(GT),6,-4.434096876520886,117.17095086946324,97.19411061301406,69.82425587952076,RNN
ExtraTrees,NOx(GT),6,0.4338408055365715,146.98760990390937,107.95752008032127,44.08168663336334,Tree
RandomForest,NOx(GT),6,0.4095774420144804,150.1042250746611,113.2490138331102,50.67763292298593,Tree
Lasso,NOx(GT),6,0.3529254345012179,157.14067359689133,116.3754397868889,47.88914827588687,Linear/Kernel
LinearSVR,NOx(GT),6,0.3529029742530077,157.14340078483434,116.521373311305,48.018933592266585,Linear/Kernel
Ridge,NOx(GT),6,0.3528757497738966,157.1467063959449,116.52984758076752,48.04156925083711,Linear/Kernel
ElasticNet,NOx(GT),6,0.3462550642491392,157.94853953386507,116.07476251555336,46.93998476632191,Linear/Kernel
MLP,NOx(GT),6,0.2987239618952652,163.5896961057052,125.03541409435786,57.00896988385339,Other
LinearRegression,NOx(GT),6,0.2124481629119288,173.3608470137777,123.5612748646758,44.703598694682405,Linear/Kernel
GBDT,NOx(GT),6,0.1974332979994214,175.00562758460208,139.321832911773,69.02379903904297,Tree
GRU_nn48,NOx(GT),6,0.1755219588583588,178.15055780245214,132.2142201778203,54.28327827159157,RNN
LSTM_nn48,NOx(GT),6,-0.0791980343574632,203.82066427660115,148.141242120561,61.08209373357274,RNN
DecisionTree,NOx(GT),6,-0.4398597410004292,234.40752003537528,171.45621363308487,74.89614442730573,Tree
LSTM,NOx(GT),6,-0.4923940652895433,239.04248935117303,168.18840777411774,54.60223760274837,RNN
GRU,NOx(GT),6,-0.5016093051056416,239.7793737501125,168.79786229456084,54.551225880981015,RNN
Naive,NOx(GT),6,-0.9192170330482812,270.6284750918992,199.520749665328,65.92121125293832,Other
ElasticNet,C6H6(GT),12,0.3662468663346744,5.084166028843402,3.873296562338968,102.81794380418393,Linear/Kernel
Lasso,C6H6(GT),12,0.3642362964646412,5.092224353127803,3.88653395986,103.3617099334573,Linear/Kernel
RandomForest,C6H6(GT),12,0.3239141953214638,5.251224351109207,4.061828486204324,102.89028317993576,Tree
ExtraTrees,C6H6(GT),12,0.2880308162736108,5.388777631820831,4.241594183445189,110.74560998531014,Tree
Ridge,C6H6(GT),12,0.2390174608179954,5.571177693399251,4.4211128347427655,131.03202939404085,Linear/Kernel
LinearRegression,C6H6(GT),12,0.2140381943091774,5.661876413798832,4.385290373301944,133.75380789229638,Linear/Kernel
LinearSVR,C6H6(GT),12,0.1745169730398176,5.802481154115531,4.674511935212152,141.61225396601057,Linear/Kernel
GBDT,C6H6(GT),12,0.124512723243062,5.97564217897046,4.678574249804385,140.7608172802578,Tree
GRU,C6H6(GT),12,-0.0502677647518485,6.566301729899319,5.625636541347608,183.6469087871673,RNN
GRU_nn48,C6H6(GT),12,-0.121474192876686,6.820581389520845,4.883000271871918,68.07295677801596,RNN
DecisionTree,C6H6(GT),12,-0.1559029819653692,6.86626177232801,4.709497597290537,114.57905067046816,Tree
LSTM,C6H6(GT),12,-0.1767200093015433,6.9503613846566905,5.989352789321817,185.4226793766881,RNN
LSTM_nn48,C6H6(GT),12,-0.3425690358059809,7.462684252920059,6.046222568709758,159.6138306512304,RNN
MLP,C6H6(GT),12,-1.0392223224641643,9.119939406099425,6.97600725408481,182.62608484759645,Other
Naive,C6H6(GT),12,-1.7218073927615536,10.536305615247551,8.240536912751677,249.75864784295263,Other
LinearRegression,CO(GT),12,0.3058310744633639,1.1029671378640025,0.8285065567439271,77.48027646728289,Linear/Kernel
LSTM,CO(GT),12,0.3045382248056479,1.107239867773987,0.8625274588358984,87.73249715137436,RNN
ExtraTrees,CO(GT),12,0.2700956473917253,1.1310009392112117,0.8882494407158832,86.5761003096697,Tree
RandomForest,CO(GT),12,0.267229753502969,1.1332191430168856,0.8896633855331841,88.32891112687359,Tree
LinearSVR,CO(GT),12,0.2564465808306327,1.1415267062597854,0.9148965692976102,94.91288084034754,Linear/Kernel
Ridge,CO(GT),12,0.2557262464493666,1.1420795124590446,0.9153883286301642,94.99271263782607,Linear/Kernel
GRU,CO(GT),12,0.2394421325994543,1.157900426726798,0.9265252083054936,96.0597058068639,RNN
GRU_nn48,CO(GT),12,0.226418807739792,1.1715683541829065,0.8860038960417239,72.5949866542493,RNN
ElasticNet,CO(GT),12,0.2170599394266593,1.1713704026722471,0.9234807374959144,95.11671005370742,Linear/Kernel
Lasso,CO(GT),12,0.1907825583491009,1.190865205418849,0.9461572380560912,98.2465884194933,Linear/Kernel
GBDT,CO(GT),12,0.185263099385935,1.194919592594008,0.935855692281424,96.31485943295525,Tree
MLP,CO(GT),12,-0.1741411916365962,1.4344656434989065,1.1482974032919058,109.04538464984338,Other
DecisionTree,CO(GT),12,-0.2550017118730767,1.483037552022724,1.056532714894069,93.79972257443497,Tree
LSTM_nn48,CO(GT),12,-0.4144009418223855,1.5841669535125051,1.1748336367373793,74.0224771543755,RNN
Naive,CO(GT),12,-1.1478328386895118,1.9401273050322092,1.5045637583892617,127.4440411958363,Other
ExtraTrees,NO2(GT),12,0.456904954055213,36.82593679178903,28.009606263982104,23.027962990349614,Tree
GBDT,NO2(GT),12,0.4325729210154115,37.641845823879066,29.130602193586668,24.590872760717872,Tree
